epoch,train_loss,val_loss,wer
1,3.0175,3.0431,1.0000
2,2.5959,2.0047,1.0208
3,1.9571,1.6004,0.9489
4,1.6393,1.4185,0.8923
5,1.4507,1.1990,0.8441
6,1.3255,1.1106,0.7952
7,1.2297,1.1495,0.7533
8,1.1564,1.0039,0.7544
9,1.0970,0.9250,0.7116
10,1.0471,0.8984,0.6967
11,1.0044,0.8440,0.6790
12,0.9669,0.8628,0.6729
13,0.9347,0.8976,0.6619
14,0.9066,0.7641,0.6414
15,0.8791,0.8144,0.6362
16,0.8554,0.7812,0.6421
17,0.8337,0.7992,0.6199
18,0.8135,0.8403,0.6111
19,0.7494,0.5813,0.5909
20,0.7295,0.7384,0.5883
